iter	Logloss
0	0.6323204422
1	0.5661786652
2	0.5169794083
3	0.4817052841
4	0.4464284515
5	0.4222632599
6	0.4028914642
7	0.3820056534
8	0.3627239609
9	0.3502966309
10	0.3345935059
11	0.325687294
12	0.3149905396
13	0.305304203
14	0.2953672409
15	0.2910858727
16	0.2811547852
17	0.27472435
18	0.2693231964
19	0.2585819435
20	0.2528585625
21	0.2480900574
22	0.242734642
23	0.2378944588
24	0.2326133728
25	0.2269055939
26	0.2219696045
27	0.2176131058
28	0.2144386673
29	0.2113196945
30	0.2081257248
31	0.2047233582
32	0.1982332611
33	0.1972680855
34	0.1953334045
35	0.1928134727
36	0.1906324768
37	0.1876023102
38	0.183956871
39	0.1816077423
40	0.178911705
41	0.1757435989
42	0.1745695496
43	0.1718643951
44	0.1695015526
45	044	0.060038646	0.45	0.05923487663
46	0.0581506443
47	0.05653820992
48	0.05556020737
49	0.05447955132
50	0.05424994469
51	0.05329885006
52	0.05193257809
53	0.05043236732
54	0.04988853455
55	0.04970933914
56	0.049542799
57	0.04933254242
58	0.04845110893
59	0.04826700687
60	0.04713499069
61	0.04609951973
62	0.0452177906
63	0.04456522942
64	0.04438540936
65	0.0441950798
66	0.04290899277
67	0.04263528824
68	0.04136493683
69	0.0402030468
70	0.03916663408
71	0.03898177862
72	0.03890147209
73	0.03835001707
74	0.03826194763
75	0.03739889622
76	0.03661278725
77	0.03581323624
78	0.03505425215
79	0.03432096958
80	0.03423856258
81	0.03416326523
82	0.03374803543
83	0.0329770422
84	0.03238418579
85	0.03170647621
86	0.03163047314
87	0.0309464407
	0.02844631195
89	0.02793371677
90	0.02746263504
91	0.0271272707
92	0.0267003727
93	0.02664325237
94	0.02660282373
95	0.0261234808
985191
96	0.02630140305
97	0.0258699584
98	0.02525921822
99	0.02513473034
100	0.02509816647
1101	0.028198275571102	0.02767471313
103	0.0272094512
104	0.027056005
105	0.02660016537
106	0.02617333889
107	0.02574509382
108	0.02532948971
109	0.02484376669
